# 胰腺癌 (Pancreatic cancer)
# ICD-11代码: 2C10
TARGETID	GENENAME	TARGTYPE	TARGNAME
T03046	KRAS	Clinical trial	Mutated KRAS (mKRAS)
T03917	ATP1A1; ATP1A2; ATP1A3; ATP1B1; ATP1B2; ATP1B3	Successful	Sodium/potassium-transporting ATPase (SPT ATPase)
T06011	N/A	Clinical trial	Transforming growth factor beta (TGFB)
T07173	NTRK1	Successful	Tropomyosin-related kinase A (TrkA)
T08391	JAK2	Successful	Janus kinase 2 (JAK-2)
T09092	IL10	Clinical trial	Interleukin-10 (IL10)
T13075	CSNK1A1	Clinical trial	Casein kinase I alpha (CSNK1A1)
T13127	FNTB; FNTA	Successful	Farnesyl protein transferase (Ftase)
T13741	OGFR	Clinical trial	Opioid receptor zeta (OGFR)
T14597	ERBB2	Successful	Erbb2 tyrosine kinase receptor (HER2)
T15068	PTK2	Clinical trial	Focal adhesion kinase 1 (FAK)
T15739	TP53	Clinical trial	Cellular tumor antigen p53 (TP53)
T16601	CEACAM5	Clinical trial	Carcinoembryonic antigen CEA (CD66e)
T18779	MUC1	Clinical trial	Mucin-1 (MUC1)
T20210	N/A	Literature-reported	Feto-acinar pancreatic protein (FAPP)
T20333	CSF1R	Successful	Macrophage colony-stimulating factor 1 receptor (CSF1R)
T23276	MAPK3	Clinical trial	Extracellular signal-regulated kinase 1 (ERK1)
T23953	PSCA	Clinical trial	Prostate stem cell antigen (PSCA)
T25005	BTK	Successful	Tyrosine-protein kinase BTK (ATK)
T28330	CCKAR	Clinical trial	Cholecystokinin receptor type A (CCKAR)
T29130	STAT3	Successful	Signal transducer and activator of transcription 3 (STAT3)
T29815	N/A	Clinical trial	Neoplasm antigen (NA)
T30081	TK1	Successful	Thymidine kinase 1 (TK1)
T30418	N/A	Successful	DNA synthesis (DNA synth)
T31072	N/A	Clinical trial	Interleukine 12 (IL-12)
T31309	BCL2	Successful	Apoptosis regulator Bcl-2 (BCL-2)
