# 肝癌 (Liver cancer)
# ICD-11代码: 2C12
TARGETID	GENENAME	TARGTYPE	TARGNAME
T01141	N/A	Literature-reported	microRNA hsa-miR-191 (MIR191)
T07303	FLT4	Successful	Vascular endothelial growth factor receptor 3 (FLT-4)
T08391	JAK2	Successful	Janus kinase 2 (JAK-2)
T10828	AFP	Clinical trial	Alpha-fetoprotein (AFP)
T11822	N/A	Successful	Retinoic acid receptor (RAR)
T13852	S1PR1	Successful	Sphingosine-1-phosphate receptor 1 (S1PR1)
T15000	CTLA4	Successful	Cytotoxic T-lymphocyte protein 4 (CTLA-4)
T17687	N/A	Successful	Fibroblast growth factor receptor (FGFR)
T18779	MUC1	Clinical trial	Mucin-1 (MUC1)
T20761	VEGFA	Successful	Vascular endothelial growth factor A (VEGFA)
T22350	ENG	Clinical trial	Endoglin CD105 (ENG)
T25307	RORC	Clinical trial	Nuclear receptor ROR-gamma (RORG)
T25726	GPC3	Clinical trial	Glypican-3 (GPC3)
T27861	CRBN	Clinical trial	Protein cereblon (CRBN)
T29130	STAT3	Successful	Signal transducer and activator of transcription 3 (STAT3)
T30420	KMT5A	Preclinical	SET domain containing 8 (KMT5A)
T31299	N/A	Clinical trial	HLA-A02/AFP complex (HLA-A02/AFP)
T31989	SPHK2	Clinical trial	Sphingosine kinase 2 (SPHK2)
T35040	BSG	Clinical trial	Basigin (BSG)
T36059	ADORA3	Clinical trial	Adenosine A3 receptor (ADORA3)
T37298	MYCBP	Clinical trial	MYCBP messenger RNA (MYCBP mRNA)
T37434	PROM1	Clinical trial	Prominin-1 (PROM1)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T41171	IL17D	Clinical trial	Interleukin-27 (IL27)
T41515	FGFR4	Clinical trial	FGFR4 messenger RNA (FGFR4 mRNA)
T43206	RORA	Preclinical	Nuclear receptor ROR-alpha (RORA)
T45598	N/A	Successful	Interferon alpha (IFNA)
T46482	TLR7	Successful	Toll-like receptor 7 (TLR7)
T47101	FGFR1	Successful	Fibroblast growth factor receptor 1 (FGFR1)
T47863	EPCAM	Clinical trial	Tumor-associated calcium signal transducer 1 (EPCAM)
T48069	IGF1R	Successful	Insulin-like growth factor I receptor (IGF1R)
T48945	TERT	Successful	TERT messenger RNA (TERT mRNA)
T49493	HBA2	Successful	Hemoglobin (HB)
T51565	CSNK2A1	Clinical trial	Casein kinase II alpha (CSNK2A1)
T51803	N/A	Clinical trial	microRNA hsa-miR-34 (MIR34)
T53389	TGFBR1	Clinical trial	TGF-beta receptor type I (TGFBR1)
T54379	N/A	Clinical trial	Wnt signaling pathway (Wnt pathway)
T56697	DKK1	Clinical trial	Dickkopf-related protein 1 (DKK1)
T57700	KIT	Successful	Tyrosine-protein kinase Kit (KIT)
T58454	FGFR2	Successful	Fibroblast growth factor receptor 2 (FGFR2)
T59102	PDGFRB	Successful	Platelet-derived growth factor receptor beta (PDGFRB)
T59328	EGFR	Successful	Epidermal growth factor receptor (EGFR)
T59631	PDCD1	Successful	Programmed cell death protein 1 (PD-1)
T63986	KIF11	Clinical trial	Kinesin spindle messenger RNA (KIF11 mRNA)
T64721	N/A	Clinical trial	Cancer stemness kinase (CSK)
T64969	EGFR	Clinical trial	Epidermal growth factor receptor variant III (EGFR vIII)
T68547	HDAC1	Successful	Histone deacetylase 1 (HDAC1)
T69563	IDH1	Successful	Oxalosuccinate decarboxylase (IDH1)
T70067	TNFRSF10B	Clinical trial	TRAIL receptor 2 (TRAIL-R2)
T74002	CSF2	Successful	Granulocyte-macrophage colony-stimulating factor (CSF2)
T75243	MTOR	Successful	Serine/threonine-protein kinase mTOR (mTOR)
T78874	N/A	Clinical trial	Protein kinase (PK)
T79368	CEBPA	Clinical trial	CEBPA messenger RNA (CEBPA mRNA)
T80975	KDR	Successful	Vascular endothelial growth factor receptor 2 (KDR)
T82494	N/A	Clinical trial	T-cell receptor (TCR)
T84894	N/A	Clinical trial	Casein kinase II (CSNK2)
T86052	TERT	Clinical trial	Telomerase reverse transcriptase (TERT)
T86836	N/A	Successful	Human Deoxyribonucleic acid (hDNA)
T87108	MSLN	Clinical trial	Mesothelin (MSLN)
T87675	AURKA	Clinical trial	Aurora kinase A (AURKA)
T88322	SSRP1	Clinical trial	Facilitates chromatin transcription complex (FACT)
T90989	FGFR4	Clinical trial	Fibroblast growth factor receptor 4 (FGFR4)
T91331	FGFR3	Successful	Fibroblast growth factor receptor 3 (FGFR3)
T95913	PIK3CG	Successful	PI3-kinase gamma (PIK3CG)
T96144	TOP2A; TOP2B	Successful	DNA topoisomerase II (TOP2)
T97136	MKNK1	Clinical trial	MAPK signal-integrating kinase 1 (MKNK1)
T97257	TGFB1	Successful	Transforming growth factor beta 1 (TGFB1)
T97553	N/A	Clinical trial	Serine/threonine-protein kinase (STK)
T97617	N/A	Successful	Sphingosine-1 phosphate receptor (S1PR)
T99160	MKNK2	Clinical trial	MAP kinase signal-integrating kinase 2 (MKNK2)
T99948	CD274	Successful	Programmed cell death 1 ligand 1 (PD-L1)
