# 黑色素瘤 (Melanoma)
# ICD-11代码: 2C30
TARGETID	GENENAME	TARGTYPE	TARGNAME
T00884	CXCR1	Successful	C-X-C chemokine receptor type 1 (CXCR1)
T00938	TYRP1	Clinical trial	Melanoma antigen gp75 (TYRP1)
T06273	PARP1	Successful	Poly [ADP-ribose] polymerase 1 (PARP1)
T10988	IL1RL2	Successful	IL-1 receptor-like 2 (IL1RL2)
T11451	TLR9	Clinical trial	Toll-like receptor 9 (TLR9)
T13348	APEX1	Clinical trial	AP endonuclease 1 (APEX1)
T14755	CD40LG	Clinical trial	TNF related activation protein (CD40LG)
T14912	MCL1	Clinical trial	Induced myeloid leukemia cell differentiation protein Mcl-1 (MCL1)
T15000	CTLA4	Successful	Cytotoxic T-lymphocyte protein 4 (CTLA-4)
T15344	TNFRSF18	Clinical trial	Activation-inducible TNFR family receptor (TNFRSF18)
T16538	EGFR	Successful	EGFR T790M mutant (EGFR T790M)
T18477	HSP90AA1	Successful	Heat shock protein 90 alpha (HSP90A)
T19579	IL2RB	Clinical trial	Interleukin 2 receptor beta (IL2RB)
T22658	CXCL8	Successful	Interleukin-8 (IL8)
T23003	N/A	Successful	MAPK/ERK kinase kinase (MAP3K)
T23276	MAPK3	Clinical trial	Extracellular signal-regulated kinase 1 (ERK1)
T26220	N/A	Clinical trial	Somatostatin receptor (SSTR)
T26851	C3	Successful	Complement C3 (CO3)
T29339	DDX58	Clinical trial	Retinoic acid-inducible gene-1 (RIG-1)
T31072	N/A	Clinical trial	Interleukine 12 (IL-12)
T31309	BCL2	Successful	Apoptosis regulator Bcl-2 (BCL-2)
T34867	N/A	Successful	Poly [ADP-ribose] polymerase (PARP)
T35940	MAP2K1	Clinical trial	ERK activator kinase 1 (MEK1)
T37847	HSV UL30	Successful	Herpes simplex virus DNA polymerase UL30 (HSV UL30)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T42854	MAGEA1	Clinical trial	Melanoma-associated antigen 1 (MAGEA1)
T44068	ADRB1	Successful	Adrenergic receptor beta-1 (ADRB1)
T44771	TGFB2	Clinical trial	TGF beta-2 messenger RNA (TGFB2 mRNA)
T45674	TMEM97	Clinical trial	Sigma intracellular receptor 2 (TMEM97)
T45758	CD40	Clinical trial	CD40L receptor (CD40)
T46128	PMEL	Successful	Melanocytes lineage-specific antigen GP100 (PMEL)
