# 卵巢癌 (Ovarian cancer)
# ICD-11代码: 2C73
TARGETID	GENENAME	TARGTYPE	TARGNAME
T05938	MUC16	Clinical trial	Ovarian carcinoma antigen CA125 (MUC16)
T06273	PARP1	Successful	Poly [ADP-ribose] polymerase 1 (PARP1)
T06671	IL18	Clinical trial	Interleukin-18 (IL18)
T08133	TRPV6	Clinical trial	Transient receptor potential cation channel V6 (TRPV6)
T09826	TOP1	Successful	DNA topoisomerase I (TOP1)
T10988	IL1RL2	Successful	IL-1 receptor-like 2 (IL1RL2)
T11253	HSPB1	Discontinued	HSPB1 messenger RNA (HSPB1 mRNA)
T14592	FAS	Clinical trial	Apoptosis mediating surface antigen FAS (FAS)
T14597	ERBB2	Successful	Erbb2 tyrosine kinase receptor (HER2)
T15068	PTK2	Clinical trial	Focal adhesion kinase 1 (FAK)
T15739	TP53	Clinical trial	Cellular tumor antigen p53 (TP53)
T16769	XIAP	Clinical trial	X-linked inhibitor of apoptosis protein (XIAP)
T17514	INHBA; INHBB; INHBC; INHBE	Clinical trial	Activin (ACT)
T18477	HSP90AA1	Successful	Heat shock protein 90 alpha (HSP90A)
T20251	KCNH2	Successful	Voltage-gated potassium channel Kv11.1 (KCNH2)
T20474	N/A	Clinical trial	DNA topoisomerase (TOP)
T20761	VEGFA	Successful	Vascular endothelial growth factor A (VEGFA)
T21960	ANGPT2	Successful	Angiopoietin-2 (ANGPT2)
T22350	ENG	Clinical trial	Endoglin CD105 (ENG)
T23003	N/A	Successful	MAPK/ERK kinase kinase (MAP3K)
T25258	ABCB1	Clinical trial	Multidrug resistance protein 1 (ABCB1)
T26226	PRLR	Clinical trial	Prolactin receptor (PRLR)
T28484	KIF11	Clinical trial	Kinesin-like protein KIF11 (KIF11)
T30418	N/A	Successful	DNA synthesis (DNA synth)
T30495	SIK2	Clinical trial	Salt-inducible kinase 2 (SIK2)
T31072	N/A	Clinical trial	Interleukine 12 (IL-12)
T31309	BCL2	Successful	Apoptosis regulator Bcl-2 (BCL-2)
T31946	N/A	Successful	Vascular endothelial growth factor receptor (VEGFR)
T34867	N/A	Successful	Poly [ADP-ribose] polymerase (PARP)
T37434	PROM1	Clinical trial	Prominin-1 (PROM1)
T37693	CNR2	Successful	Cannabinoid receptor 2 (CB2)
T38087	TNKS2	Clinical trial	Tankyrase-2 (TNKS-2)
T39231	TNKS	Clinical trial	Tankyrase-1 (TNKS-1)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T40812	PARP2	Clinical trial	Poly [ADP-ribose] polymerase 2 (PARP2)
T42974	GAS6	Clinical trial	AXL receptor tyrosine kinase ligand (GAS6)
T43189	N/A	Successful	Tubulin (TUB)
T43415	N/A	Successful	Tyrosine-protein kinase (PTK)
T44141	ANGPT1	Clinical trial	Angiopoietin-1 (ANGPT1)
T45758	CD40	Clinical trial	CD40L receptor (CD40)
T47101	FGFR1	Successful	Fibroblast growth factor receptor 1 (FGFR1)
T51883	ARAF; BRAF; RAF1	Clinical trial	Serine/threonine-protein kinase Raf (RAF)
T52624	N/A	Successful	Platelet-derived growth factor receptor (PDGFR)
T54644	CACNA1H	Successful	Voltage-gated calcium channel alpha Cav3.2 (CACNA1H)
T55273	DLL4	Clinical trial	Delta-like protein 4 (DLL4)
