# 前列腺癌 (Prostate cancer)
# ICD-11代码: 2C82
TARGETID	GENENAME	TARGTYPE	TARGNAME
T00176	MDM2	Clinical trial	Ubiquitin-protein ligase E3 Mdm2 (MDM2)
T01908	KLK2	Clinical trial	Tissue kallikrein (KLK2)
T03634	CREBBP	Clinical trial	CREB-binding protein (CREBBP)
T05031	PIK3CB	Clinical trial	PI3-kinase beta (PIK3CB)
T06273	PARP1	Successful	Poly [ADP-ribose] polymerase 1 (PARP1)
T07063	SLC5A5	Clinical trial	Sodium/iodide cotransporter (SLC5A5)
T07303	FLT4	Successful	Vascular endothelial growth factor receptor 3 (FLT-4)
T07374	MSMB	Clinical trial	Beta-microseminoprotein (MSMB)
T09058	TPBG	Clinical trial	Oncotrophoblast glycoprotein 5T4 (TPBG)
T11211	AR	Successful	Androgen receptor (AR)
T11253	HSPB1	Discontinued	HSPB1 messenger RNA (HSPB1 mRNA)
T11451	TLR9	Clinical trial	Toll-like receptor 9 (TLR9)
T12475	GNRHR	Successful	Gonadotropin-releasing hormone receptor (GNRHR)
T14597	ERBB2	Successful	Erbb2 tyrosine kinase receptor (HER2)
T14755	CD40LG	Clinical trial	TNF related activation protein (CD40LG)
T15000	CTLA4	Successful	Cytotoxic T-lymphocyte protein 4 (CTLA-4)
T15855	DPP8	Clinical trial	Dipeptidyl peptidase 8 (DPP-8)
T15894	CUL4A/CUL4B-DDB1-CRBN	Clinical trial	Cerebron E3 ubiquitin ligase complex (CRL4-CRBN E3 ubiquitin ligase)
T18872	KISS1	Clinical trial	Metastasis-suppressor KiSS-1 (KISS1)
T18950	GNRH1	Successful	Leutinizing-hormone-releasing hormone (GNRH1)
T18972	CD3G	Clinical trial	T-cell surface glycoprotein CD3 gamma (CD3G)
T19229	SLC46A1	Successful	Proton-coupled folate transporter (SLC46A1)
T21334	TNFSF11	Successful	Osteoclast differentiation factor (ODF)
T23145	CYP11A1	Successful	Cholesterol desmolase (CYP11A1)
T23499	EDNRA	Successful	Endothelin A receptor (EDNRA)
T23953	PSCA	Clinical trial	Prostate stem cell antigen (PSCA)
T25265	EZH2	Successful	Enhancer of zeste homolog 2 (EZH2)
T25956	EP300	Clinical trial	Histone acetyltransferase p300 (EP300)
T26203	ICAM1	Successful	Intercellular adhesion molecule ICAM-1 (ICAM1)
T26240	N/A	Successful	Estramustine binding protein (EMBP)
T27265	SRD5A1; SRD5A2; SRD5A3	Successful	Oxo-5-alpha-steroid 4-dehydrogenase (SRD5A)
T29999	N/A	Successful	Vasopressin V1 receptor (V1R)
T30081	TK1	Successful	Thymidine kinase 1 (TK1)
T30687	NR3C1	Successful	Glucocorticoid receptor messenger RNA (GCR mRNA)
T31309	BCL2	Successful	Apoptosis regulator Bcl-2 (BCL-2)
T33489	STS	Successful	Steryl-sulfatase (STS)
T34234	VDR	Successful	Vitamin D3 receptor (VDR)
T34867	N/A	Successful	Poly [ADP-ribose] polymerase (PARP)
T35465	SLC19A1	Successful	Solute carrier family 19 member 1 (SLC19A1)
T35486	NRAS	Clinical trial	GTPase NRas (NRAS)
T36935	KLK3	Clinical trial	Prostate specific antigen (KLK3)
T37693	CNR2	Successful	Cannabinoid receptor 2 (CB2)
T38431	S100A9	Clinical trial	Calgranulin B (S100A9)
T39123	KISS1R	Discontinued	G-protein coupled receptor 54 (KISS1R)
T40556	BRD4	Clinical trial	Bromodomain-containing protein 4 (BRD4)
T40694	PLK1	Clinical trial	Polo-like kinase 1 (PLK1)
T41963	N/A	Clinical trial	Toll-like receptor (TLR)
T42048	BRD3	Clinical trial	Bromodomain-containing protein 3 (BRD3)
T44916	EED	Clinical trial	Embryonic ectoderm development protein (EED)
T45612	CD276	Clinical trial	B7 homolog 3 (CD276)
T45674	TMEM97	Clinical trial	Sigma intracellular receptor 2 (TMEM97)
T46084	TNFSF10	Clinical trial	TNF related apoptosis inducing ligand (TNFSF10)
T46360	SIGMAR1	Successful	Opioid receptor sigma 1 (OPRS1)
T46456	RXRG	Successful	Retinoic acid receptor RXR-gamma (RXRG)
T46521	AR	Clinical trial	Androgen receptor messenger RNA (AR mRNA)
T46781	AURKB	Clinical trial	Aurora kinase B (AURKB)
T47610	IL11RA	Successful	Interleukin 11 receptor alpha (IL11RA)
T47863	EPCAM	Clinical trial	Tumor-associated calcium signal transducer 1 (EPCAM)
T51407	XPO1	Clinical trial	Exportin-1 (XPO1)
T52450	MMP1	Successful	Matrix metalloproteinase-1 (MMP-1)
T53524	PDGFRA	Successful	Platelet-derived growth factor receptor alpha (PDGFRA)
T54519	sch PNP	Clinical trial	Schistosoma Purine nucleoside phosphorylase (sch PNP)
T56362	SLC44A4	Clinical trial	Choline transporter-like protein 4 (SLC44A4)
T56697	DKK1	Clinical trial	Dickkopf-related protein 1 (DKK1)
T58998	N/A	Clinical trial	Bromodomain and extraterminal domain protein (BET)
T59626	LTB4R	Clinical trial	Leukotriene B4 receptor 1 (LTB4R)
T59631	PDCD1	Successful	Programmed cell death protein 1 (PD-1)
T60213	BMPR2	Literature-reported	Bone morphogenetic protein receptor (BMPR2)
T60345	N/A	Successful	T-cell surface glycoprotein CD3 (CD3)
T60857	AKR1C3	Successful	Dihydrodiol dehydrogenase type I (AKR1C3)
T60930	IGF1	Clinical trial	Insulin-like growth factor-I (IGF1)
T61698	IL2	Successful	Interleukin-2 (IL2)
T62151	N/A	Successful	Monoamine oxidase (MAO)
T64682	SGK1	Clinical trial	Serine/threonine-protein kinase Sgk1 (SGK1)
T66252	DPP9	Clinical trial	Dipeptidyl peptidase 9 (DPP-9)
T66693	TNFRSF17	Successful	B-cell maturation protein (TNFRSF17)
T67363	ITGAV-ITGB3	Clinical trial	Integrin alpha-V/beta-3 (ITGAV/B3)
T67619	AKT1	Successful	RAC-alpha serine/threonine-protein kinase (AKT1)
T68251	MMP2	Successful	Matrix metalloproteinase-2 (MMP-2)
T68517	HSPB3	Clinical trial	Heat shock protein 27 (HSP27)
T70201	GLIPR1	Clinical trial	Glioma pathogenesis-related protein 1 (GLIPR1)
T71164	N/A	Clinical trial	Ganglioside GD2 (GD2)
T73475	MMP7	Successful	Matrix metalloproteinase-7 (MMP-7)
T74002	CSF2	Successful	Granulocyte-macrophage colony-stimulating factor (CSF2)
T75243	MTOR	Successful	Serine/threonine-protein kinase mTOR (mTOR)
T76685	CNR1	Successful	Cannabinoid receptor 1 (CB1)
T77365	ADORA2A	Successful	Adenosine A2a receptor (ADORA2A)
T77664	IFNG	Successful	Interferon-gamma (IFNG)
T77764	AURKB	Clinical trial	Aurora B messenger RNA (AURKB mRNA)
T78114	CD55	Clinical trial	Complement decay-accelerating factor (CD55)
T80011	EIF4EBP2	Clinical trial	eIF4E-BP2 messenger RNA (eIF4E-BP2 mRNA)
T80276	PIK3CA	Successful	PI3-kinase alpha (PIK3CA)
T80896	ESR2	Successful	Estrogen receptor beta (ESR2)
T81443	TLR4	Clinical trial	Toll-like receptor 4 (TLR4)
T81735	PRKDC	Clinical trial	DNA-dependent protein kinase catalytic (PRKDC)
T81774	N/A	Successful	Tubulin polymerization (TubP)
T82078	TLR2	Clinical trial	Toll-like receptor 2 (TLR2)
T83011	MAOB	Successful	Monoamine oxidase type B (MAO-B)
T83875	MAOA	Successful	Monoamine oxidase type A (MAO-A)
T85529	CD28	Successful	T-cell-specific surface glycoprotein CD28 (CD28)
T85799	CDK4	Successful	Cyclin-dependent kinase 4 (CDK4)
T86052	TERT	Clinical trial	Telomerase reverse transcriptase (TERT)
T86399	BRD2	Clinical trial	Bromodomain-containing protein 2 (BRD2)
T86836	N/A	Successful	Human Deoxyribonucleic acid (hDNA)
T87075	CD3E	Successful	T-cell surface glycoprotein CD3 epsilon (CD3E)
T87675	AURKA	Clinical trial	Aurora kinase A (AURKA)
T87871	ROR1	Clinical trial	Neurotrophic tyrosine kinase ROR1 (ROR1)
T89041	CYP17A1	Successful	Steroid 17-alpha-monooxygenase (S17AH)
T89534	ESR1	Successful	Estrogen receptor (ESR)
T89697	IDO1	Successful	Indoleamine 2,3-dioxygenase 1 (IDO1)
T90572	IGF2	Clinical trial	Insulin-like growth factor-II (IGF2)
T91286	STEAP1	Clinical trial	Metalloreductase STEAP1 (STEAP1)
T92124	TNFRSF4	Clinical trial	OX40L receptor (CD134)
T92609	ADRA1A	Successful	Adrenergic receptor alpha-1A (ADRA1A)
T93283	ACPP	Clinical trial	Prostatic acid phosphatase (ACPP)
T94444	AOX1	Successful	Aldehyde oxidase (AOX1)
T95289	N/A	Clinical trial	Retinoic acid receptor RXR (RXR)
T95899	CLU	Clinical trial	Clusterin messenger RNA (Clusterin mRNA)
T95913	PIK3CG	Successful	PI3-kinase gamma (PIK3CG)
