# 肾细胞癌 (Renal cell carcinoma)
# ICD-11代码: 2C90
TARGETID	GENENAME	TARGTYPE	TARGNAME
T01232	N/A	Clinical trial	T-cells (T-cells)
T03500	MMP12	Clinical trial	Matrix metalloproteinase-12 (MMP-12)
T06421	IFNAR2	Successful	Interferon alpha/beta receptor 2 (IFNAR2)
T07303	FLT4	Successful	Vascular endothelial growth factor receptor 3 (FLT-4)
T09092	IL10	Clinical trial	Interleukin-10 (IL10)
T09826	TOP1	Successful	DNA topoisomerase I (TOP1)
T11451	TLR9	Clinical trial	Toll-like receptor 9 (TLR9)
T17986	EZH1	Clinical trial	Enhancer of zeste homolog 1 (EZH1)
T18477	HSP90AA1	Successful	Heat shock protein 90 alpha (HSP90A)
T19579	IL2RB	Clinical trial	Interleukin 2 receptor beta (IL2RB)
T21123	EPAS1	Successful	Hypoxia-inducible factor 2 alpha (HIF-2A)
T21960	ANGPT2	Successful	Angiopoietin-2 (ANGPT2)
T22350	ENG	Clinical trial	Endoglin CD105 (ENG)
T25265	EZH2	Successful	Enhancer of zeste homolog 2 (EZH2)
T28484	KIF11	Clinical trial	Kinesin-like protein KIF11 (KIF11)
T30563	LTB4R2	Clinical trial	Leukotriene B4 receptor 2 (LTB4R2)
T40474	MET	Successful	Proto-oncogene c-Met (MET)
T41003	EPAS1	Clinical trial	HIF2-alpha messenger RNA (EPAS1 mRNA)
T44141	ANGPT1	Clinical trial	Angiopoietin-1 (ANGPT1)
T52624	N/A	Successful	Platelet-derived growth factor receptor (PDGFR)
T54156	MMP9	Clinical trial	Matrix metalloproteinase-9 (MMP-9)
T57700	KIT	Successful	Tyrosine-protein kinase Kit (KIT)
T59102	PDGFRB	Successful	Platelet-derived growth factor receptor beta (PDGFRB)
T59328	EGFR	Successful	Epidermal growth factor receptor (EGFR)
T59626	LTB4R	Clinical trial	Leukotriene B4 receptor 1 (LTB4R)
T59631	PDCD1	Successful	Programmed cell death protein 1 (PD-1)
T61698	IL2	Successful	Interleukin-2 (IL2)
T63966	FLT1	Successful	Vascular endothelial growth factor receptor 1 (FLT-1)
T64567	CA9	Clinical trial	Carbonic anhydrase IX (CA-IX)
T65755	N/A	Successful	Histone deacetylase (HDAC)
T65889	PKM	Clinical trial	Pyruvate kinase M2 (PKM)
T67363	ITGAV-ITGB3	Clinical trial	Integrin alpha-V/beta-3 (ITGAV/B3)
T67619	AKT1	Successful	RAC-alpha serine/threonine-protein kinase (AKT1)
T67805	CD70	Clinical trial	CD70 antigen (CD27-L)
T68251	MMP2	Successful	Matrix metalloproteinase-2 (MMP-2)
T68547	HDAC1	Successful	Histone deacetylase 1 (HDAC1)
T75243	MTOR	Successful	Serine/threonine-protein kinase mTOR (mTOR)
T75797	PTGFR	Successful	Prostaglandin F2-alpha receptor (PTGFR)
T76285	ENPP3	Clinical trial	Phosphodiesterase I beta (ENPP3)
T80975	KDR	Successful	Vascular endothelial growth factor receptor 2 (KDR)
T83386	FOLR1	Successful	Folate receptor alpha (FOLR1)
T84631	F10	Successful	Coagulation factor Xa (F10)
T85554	CD27	Clinical trial	T-cell activation antigen CD27 (CD27)
T86734	GLS; GLS2	Clinical trial	Glutaminase (GLS)
T88806	ITGA5-ITGB1	Clinical trial	Integrin alpha-5/beta-1 (ITGA5/B1)
T89697	IDO1	Successful	Indoleamine 2,3-dioxygenase 1 (IDO1)
T91331	FGFR3	Successful	Fibroblast growth factor receptor 3 (FGFR3)
T91435	ROR2	Clinical trial	Neurotrophic tyrosine kinase ROR2 (ROR2)
T94718	LAG3	Successful	Lymphocyte activation gene 3 protein (LAG3)
T96079	CXCR4	Successful	C-X-C chemokine receptor type 4 (CXCR4)
T99948	CD274	Successful	Programmed cell death 1 ligand 1 (PD-L1)
