tpid,tp_name,genename1,genename2,fd_name,md_name,specific_cancer
TP00003,ABL1;CYP19A1,ABL1,CYP19A1,Breast Cancer,Breast Cancer,Breast Cancer
TP00004,ABL1;EGFR,ABL1,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00005,ABL1;ERBB2,ABL1,ERBB2,Lung Cancer,Lung Cancer,Lung Cancer
TP00006,ABL1;ERBB4,ABL1,ERBB4,Lung Cancer,Lung Cancer,Lung Cancer
TP00007,ABL1;ESR1,ABL1,ESR1,Breast Cancer,Breast Cancer,Breast Cancer
TP00008,ABL1;ESR2,ABL1,ESR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00009,ABL1;FLT1,ABL1,FLT1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00010,ABL1;FLT4,ABL1,FLT4,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00013,ABL1;KDR,ABL1,KDR,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00014,ABL1;MAP2K1,ABL1,MAP2K1,Lung Cancer,Lung Cancer,Lung Cancer
TP00015,ABL1;MAP2K2,ABL1,MAP2K2,Lung Cancer,Lung Cancer,Lung Cancer
TP00020,ABL1;PDCD1,ABL1,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00025,ADORA2A;AR,ADORA2A,AR,Lung Cancer,Lung Cancer,Lung Cancer
TP00026,ADORA2A;CD274,ADORA2A,CD274,Lung Cancer,Lung Cancer,Lung Cancer
TP00027,ADORA2A;CYP17A1,ADORA2A,CYP17A1,Lung Cancer,Lung Cancer,Lung Cancer
TP00028,ADORA2A;EGFR,ADORA2A,EGFR,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00029,ADORA2A;ERBB3,ADORA2A,ERBB3,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00030,ADORA2A;NT5E,ADORA2A,NT5E,Lung Cancer,Lung Cancer,Lung Cancer
TP00031,ADORA2A;PDCD1,ADORA2A,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00032,ADORA2A;TIGIT,ADORA2A,TIGIT,Lung Cancer,Lung Cancer,Lung Cancer
TP00033,ADORA2B;EGFR,ADORA2B,EGFR,Prostate Cancer,Prostate Cancer,Prostate Cancer
